ID,Source Term,Query,Language,Relevant section,Target Term,hit_mono,hit_multi,rerank_mono,rerank_multi,ref_mono,ref_multi,src_mono,src_multi,answer_mono,answer_multi,judge_score_mono,judge_reason_mono,judge_score_multi,judge_reason_multi,judge_delta,exact_mono,exact_multi,stem_mono,stem_multi,sem_mono,sem_multi
1,Heizer,Was macht ein Heizer?,de,"R 300.13, section 1.1",Feuerung,True,True,1.760924220085144,1.760924220085144,"1	Allgemeines
1.1	Personal
	
	Als Heizer wird diejenige Person bezeichnet, der die Feuerung sowie bestimmte technische Aufgaben an der Dampflokomotive übernimmt. Er muss dafür fahrdienstlich nicht geprüft sein.
Werden die Funktionen des Führergehilfen und des Heizers von einer einzigen Person wahrgenommen, haben die Aufgaben des Führergehilfen Vorrang.
	
","1	Allgemeines
1.1	Personal
	
	Als Heizer wird diejenige Person bezeichnet, der die Feuerung sowie bestimmte technische Aufgaben an der Dampflokomotive übernimmt. Er muss dafür fahrdienstlich nicht geprüft sein.
Werden die Funktionen des Führergehilfen und des Heizers von einer einzigen Person wahrgenommen, haben die Aufgaben des Führergehilfen Vorrang.
	
",R 300.13 §1,R 300.13 §1,"Laut Abschnitt 1.1 der „Lokfuehrer in“ übernimmt der Heizer die Feuerung sowie bestimmte technische Aufgaben an der Dampflokomotive. Es ist wichtig zu beachten, dass der Heizer nicht fahrdienstlich geprüft sein muss (Abschnitt 1.1). Der Lokführergehilfe (LF) hat Vorrang bei Aufgaben, wenn beide Funktionen von einer Person wahrgenommen werden (Abschnitt 1.1). Der LF trägt zudem die Mitverantwortung für die Arbeit des Heizers (Abschnitt 2.2).","Laut Abschnitt 1.1 der „Lokfuehrer in“ übernimmt der Heizer die Feuerung sowie bestimmte technische Aufgaben an der Dampflokomotive. Es ist wichtig zu beachten, dass der Heizer nicht fahrdienstlich geprüft sein muss (Abschnitt 1.1). Der Lokführergehilfe (LF) hat Vorrang bei Aufgaben, wenn beide Funktionen von einer Person wahrgenommen werden (Abschnitt 1.1). Der LF trägt zudem die Mitverantwortung für die Arbeit des Heizers (Abschnitt 2.2).",5,"The RAG answer accurately and completely addresses the question by explaining what a Heizer does according to section 1.1 of ""Lokfuehrer in."" It also includes relevant details about not needing to be driver service checked, LF's precedence when both roles are held simultaneously (section 1.1), as well as mentioning that an LF shares responsibility for work done by the Heizer from another referenced part which is consistent with understanding section 1.1 fully correctly and completely in context of answering what a Heizer does.",5,"The RAG answer accurately and completely addresses the question by explaining what a Heizer does according to section 1.1 of ""Lokfuehrer in."" It also includes relevant details about not needing to be driver service checked, LF's precedence when both roles are held simultaneously (section 1.1), as well as mentioning that an LF shares responsibility for work done by the Heizer from another referenced part which is consistent with understanding section 1.1 fully correctly and completely in context of answering what a Heizer does.",0,True,True,True,True,True,True
2,Heizer,Quelles sont les fonctions du chauffeur?,fr,"R 300.13, section 1.1",foyer,False,True,-0.7841065526008606,1.6110206842422485,"er elektrischen Rückleitung
Erste Weiche
erste aus Richtung Strecke befahrene Weiche eines Bahnhofes

Fahrbar melden (Gleis / Weiche)
die Einzelmeldung einer Arbeitsstelle, dass ihr Bereich wieder befahrbar ist
Fahrdienstleiter / Fahrdienstleiterin (FDL)
die verantwortliche Person für die Sicherung und Regelung des Zugverkehrs und der Rangierbewegungen
Fahrdienstliche Tätigkeiten
die fahrdienstlichen Tätigkeiten umfassen die in den Schweizerischen Fahrdienstvorschriften geregelten Aufgaben und Funktionen
Fahrordnung
umfasst die für die Führung einer Fahrt erforderlichen fahrplantechnischen Angaben
Fahrpersonal
LF mit oder ohne ZBE oder LF und RA
Fahrstrasse
ein durch das Stellwerk gesicherter Fahrweg eines Zuges oder einer Rangierbewegung zwischen einem Start- und einem Zielpunkt
Fahrt","1	Généralités
1.1	Personnel
	
	On désigne comme chauffeur la personne qui s’occupe du foyer et de certaines tâches techniques sur la locomotive à vapeur. Il ne doit pas être examiné sur la circulation des trains.
Si les fonctions de l’aide-mécanicien et du chauffeur sont assumées par une seule et même personne, les tâches de l’aide-mécanicien ont la priorité.
	
",R 300.1 §2.5,R 300.13 §1,"Le texte fourni ne détaille pas les fonctions spécifiques du chauffeur. Il énumère uniquement les différentes fonctions qui peuvent être activées par le système de contrôle du train, telles que ""Halt"", ""Rangierhalt"", ""Warnung"", ""Surveillance"" et d'autres fonctions liées à la vitesse, au type de conduite et à la voie (PCT - Prescriptions de circulation des trains, Section 3.3).  Il est donc impossible de répondre à la question sur les fonctions du chauffeur à partir de cet extrait.","D'après l'extrait 1, section 1.1, le chauffeur est responsable du foyer et de certaines tâches techniques sur la locomotive à vapeur. Il ne subit pas d'examen concernant la circulation des trains. Si les fonctions du chauffeur et de l'aide-mécanicien sont combinées, les tâches de l'aide-mécanicien prennent priorité. L'extrait 2, section 2.2, précise que le MEC est coresponsable du travail du chauffeur.",1,The reference passage does not contain information about the functions of a driver; it lists various system controls and related terms instead.,4,"The answer correctly identifies the functions of a chauffeur as outlined in sections 1 and 2; however, it incorrectly references Section 2 instead of continuing with relevant information from Section 1 about the MEC's role related to the driver's tasks.",3,False,True,False,True,False,True
3,Heizer,Cosa fa un fuochista?,it,"R 300.13, section 1.1",regolazione del fuoco,True,True,-0.5568044781684875,2.0423786640167236,"1	Allgemeines
1.1	Personal
	
	Als Heizer wird diejenige Person bezeichnet, der die Feuerung sowie bestimmte technische Aufgaben an der Dampflokomotive übernimmt. Er muss dafür fahrdienstlich nicht geprüft sein.
Werden die Funktionen des Führergehilfen und des Heizers von einer einzigen Person wahrgenommen, haben die Aufgaben des Führergehilfen Vorrang.
	
","1	In generale
1.1	Personale
	
	Per fuochista si intende la persona che cura la regolazione del fuoco come pure determinate mansioni tecniche sulla locomotiva a vapore. Egli non deve essere esaminato per le mansioni attinenti alla circolazione.
Se le funzioni dell’aiuto MAC e del fuochista sono svolte da 
un’unica persona, le mansioni di aiuto MAC hanno la priorità.
	
",R 300.13 §1,R 300.13 §1,"Basierend auf dem Auszug 1, Abschnitt 1.1, wird die Person, die als Heizer bezeichnet wird, für die Feuerung und bestimmte technische Aufgaben an der Dampflokomotive verantwortlich. Der Heizer benötigt keine fahrdienstliche Prüfung. Es wird klargestellt, dass die Aufgaben des Führergehilfen Vorrang haben, wenn die Funktionen von einer einzigen Person wahrgenommen werden.","Basierend auf den bereitgestellten Auszügen ist der Fuochista für die Regulierung des Feuers sowie für bestimmte technische Aufgaben auf der Dampflokomotive zuständig (Excerpt 1, 1.1).  Er ist nicht für die Aufgaben der Verkehrskontrolle verantwortlich (Excerpt 1, 1.1). Der MAC ist für die Arbeit des Fuochista verantwortlich (Excerpt 2, 2.2).  Der MAC kann dem Fuochista Anweisungen erteilen (Excerpt 2, 2.3).",5,The RAG answer accurately and completely addresses the question by summarizing what a fuochista (Heizer) does according to section 1.1 of the reference passage provided.,5,The RAG answer accurately and completely explains the role of a fuochista as per the reference passage provided.,0,False,False,False,False,False,True
4,Abstossen,Welche Arten von Rangierbewegungen gibt es?,de,"R 300.4, section 1.3",abstossen,True,True,9.427061080932617,9.427061080932617,"1.3	Bewegungsarten
	
	Es wird zwischen folgenden Rangierbewegungen unterschieden:
–	Rangierfahrten direkt und indirekt geführt
–	ablaufen lassen
–	abstossen
–	Rangierbewegungen mit Rangierseil oder Spill
–	Rangierbewegungen mit Strassenfahrzeugen
–	Rangierbewegungen von Hand oder mit mechanischen Hilfsmitteln
	
","1.3	Bewegungsarten
	
	Es wird zwischen folgenden Rangierbewegungen unterschieden:
–	Rangierfahrten direkt und indirekt geführt
–	ablaufen lassen
–	abstossen
–	Rangierbewegungen mit Rangierseil oder Spill
–	Rangierbewegungen mit Strassenfahrzeugen
–	Rangierbewegungen von Hand oder mit mechanischen Hilfsmitteln
	
",R 300.4 §1.3,R 300.4 §1.3,"Basierend auf den bereitgestellten Auszügen lassen sich folgende Arten von Rangierbewegungen unterscheiden (FDV 1.3 und PCT 7.1.2):

Es werden Rangierfahrten direkt und indirekt geführt, sowie ablaufend lassen, abstossen, mit Rangierseil oder Spill und mit Strassenfahrzeugen durchgeführt.  Zudem können Rangierbewegungen von Hand oder mit mechanischen Hilfsmitteln ausgeführt werden.  Die Dokumente unterscheiden sich nicht in der Anzahl der Arten, sondern lediglich in der Formulierung (FDV 1.3 und PCT 7.1.2).","Basierend auf den bereitgestellten Auszügen lassen sich folgende Arten von Rangierbewegungen unterscheiden (FDV 1.3 und PCT 7.1.2):

Es werden Rangierfahrten direkt und indirekt geführt, sowie ablaufend lassen, abstossen, mit Rangierseil oder Spill und mit Strassenfahrzeugen durchgeführt.  Zudem können Rangierbewegungen von Hand oder mit mechanischen Hilfsmitteln ausgeführt werden. Die Dokumente unterscheiden sich nicht in der Anzahl der Arten, sondern lediglich in der Formulierung.",5,"The RAG answer accurately lists all the types of railway movements mentioned and correctly references both FDV 1.3 and PCT 7.1.2, making it fully correct based on the reference passage provided.",5,The RAG answer accurately lists all the types of railway movements mentioned in the reference passage and correctly explains that they differ only by formulation rather than number or type.,0,True,True,True,True,True,True
5,Abstossen,Quels genres de mouvements de manoeuvre distingue-t-on?,fr,"R 300.4, section 1.3",lancer,True,True,2.2644431591033936,8.947957038879395,"1.3	Bewegungsarten
	
	Es wird zwischen folgenden Rangierbewegungen unterschieden:
–	Rangierfahrten direkt und indirekt geführt
–	ablaufen lassen
–	abstossen
–	Rangierbewegungen mit Rangierseil oder Spill
–	Rangierbewegungen mit Strassenfahrzeugen
–	Rangierbewegungen von Hand oder mit mechanischen Hilfsmitteln
	
","1.3	Genres de mouvements
	
	On définit les mouvements de manœuvre suivants :
–	courses de manœuvre conduites de manière directe et indirecte
–	laisser-couler
–	lancer
–	mouvements de manœuvre à la prolonge ou au cabestan
–	mouvements de manœuvre au moyen de véhicules routiers
–	mouvements de manœuvre à bras ou au moyen d’engins mécaniques.
	
",R 300.4 §1.3,R 300.4 §1.3,"Selon l'extrait 1.3 et l'extrait 2, on distingue les mouvements de manœuvre suivants : les mouvements de manœuvre directement et indirectement guidés, les mouvements de manœuvre avec des véhicules de rue et les mouvements de manœuvre effectués manuellement ou avec des moyens mécaniques. L'extrait 1.3 précise également la distinction entre les mouvements de manœuvre avec des cordes de manœuvre ou des dispositifs de poussée. Il n'y a pas d'informations supplémentaires dans les extraits pour répondre à cette question.",Les mouvements de manœuvre distingués dans les documents sont les courses de manœuvre conduites de manière directe et indirecte (1.3 et 7.1.2).  On y inclut également les mouvements de manœuvre au moyen de véhicules routiers (1.3 et 7.1.2) et les mouvements de manœuvre à bras ou au moyen d’engins mécaniques (1.3 et 7.1.2).  Il n'y a pas de distinction supplémentaire concernant les autres types de mouvements listés.,5,"The RAG answer accurately and completely identifies the types of maneuvers distinguished in the reference passage, including direct/indirect guidance, use with street vehicles or manually/mechanically assisted movements as well as specifying corded maneuvering devices mentioned briefly but correctly without additional information.",4,"The answer correctly identifies the main categories of maneuvers but omits some details like ""laisser-couler"" and does not mention all listed movements, missing minor gaps in completeness.",-1,False,False,False,False,False,False
6,Abstossen,Quali tipi di movimenti di  manovra si distinguono?,it,"R 300.4, section 1.3",colpo,True,True,3.4607951641082764,10.612664222717285,"7.1.2	Bewegungsarten	
		
	Es wird zwischen folgenden Rangierbewegungen unterschieden:
-	Rangierfahrten direkt und indirekt geführt
-	Rangierbewegungen mit Strassenfahrzeugen 
-	Rangierbewegungen von Hand oder mit mechanischen Hilfsmitteln.	
		
","1.3	Tipi di movimento
	
	Si distingue fra i movimenti di manovra seguenti:
–	corse di manovra condotte direttamente e indirettamente
–	lancio
–	colpo
–	movimenti di manovra con la fune o l’argano
–	movimenti di manovra con veicoli stradali
–	movimenti di manovra a braccia o con mezzi meccanici.
	
",R 300.4 §7.1.2,R 300.4 §1.3,"Secondo gli estratti forniti, si distinguono diversi tipi di movimenti di manovra nelle operazioni di rimesse (Rangierbewegungen). Nello specifico, si identificano movimenti diretti e indiretti, movimenti con veicoli stradali, movimenti con sistemi di spinta manuale o meccanici, movimenti con funi o spill, e movimenti con abbattimento (abstossen) (Sezioni 7.1.2 e 1.3). Questi sono i tipi di movimenti di manovra distinti nelle Fahrdienstvorschriften. La documentazione non fornisce ulteriori dettagli specifici sui tipi di movimenti.","Secondo gli estratti forniti, si distinguono i seguenti tipi di movimenti di manovra: corse di manovra condotte direttamente e indirettamente (1.3 e 7.1.2). Inoltre, sono elencati i movimenti di manovra con veicoli stradali e quelli a braccia o con mezzi meccanici (1.3 e 7.1.2). Non ci sono ulteriori specificazioni sui tipi di movimento di manovra in questi documenti.",4,"The answer correctly identifies the types of maneuvers but includes additional details not present in the reference passage, such as spill and abstossen (abstoss).",4,The answer correctly identifies the types of maneuvers but omits some details like 'lancio' and 'colpo'.,0,False,False,False,False,False,False
7,Perron,Unter welchen Bedingungen sind Rangierfahrten gegen eingestellte Zugfahrstrassen erlaubt?,de,"R 300.4, section 2.3.2",Perron,True,True,10.832234382629395,10.832233428955078,"2.3.2	Rangierbewegung gegen Zugfahrstrasse
	
	Als Rangierbewegung gegen eine eingestellte Zugfahrstrasse gelten alle Rangierbewegungen, die infolge einer zu späten Bremsung die Zugfahrt durch eine Flankenfahrt gefährden könnten.
Rangierfahrten gegen eingestellte Zugfahrstrassen sind nur erlaubt, wenn folgende Bedingungen erfüllt sind:
–	beim Fahren gegen bzw. Anfahren an gebremste Fahrzeuge, die sich vor der eingestellten Zugfahrstrasse befinden oder
–	wenn in Anlagen mit Zwergsignalen das Zielgleis der Rangierfahrt vor der eingestellten Zugfahrstrasse liegt sowie 1 Zwergsignal Halt zeigt und
–	der Fahrweg vom RL verlangt wird und kein unbegleitetes Schieben ausgeführt wird oder","2.3.2	Rangierbewegung gegen Zugfahrstrasse
	
	Als Rangierbewegung gegen eine eingestellte Zugfahrstrasse gelten alle Rangierbewegungen, die infolge einer zu späten Bremsung die Zugfahrt durch eine Flankenfahrt gefährden könnten.
Rangierfahrten gegen eingestellte Zugfahrstrassen sind nur erlaubt, wenn folgende Bedingungen erfüllt sind:
–	beim Fahren gegen bzw. Anfahren an gebremste Fahrzeuge, die sich vor der eingestellten Zugfahrstrasse befinden oder
–	wenn in Anlagen mit Zwergsignalen das Zielgleis der Rangierfahrt vor der eingestellten Zugfahrstrasse liegt sowie 1 Zwergsignal Halt zeigt und
–	der Fahrweg vom RL verlangt wird und kein unbegleitetes Schieben ausgeführt wird oder",R 300.4 §2.3.2,R 300.4 §2.3.2,"Rangierbewegungen gegen eine eingestellte Zugfahrstrasse sind erlaubt, wenn infolge einer zu späten Bremsung die Zugfahrt gefährdet wäre (2.3.2).  Es müssen entweder die Bedingungen beim Fahren gegen oder Anfahren an gebremste Fahrzeuge vor der Zugfahrstrasse erfüllt sein (2.3.2).  Zusätzlich ist das Vorhandensein eines Halt-Signals des Zwergsignals erforderlich, wenn das Zielgleis der Rangierfahrt vor der Zugfahrstrasse liegt (2.3.2).  Schieben ohne Begleitung ist ebenfalls verboten (2.3.2).","Rangierbewegungen gegen eine eingestellte Zugfahrstrasse sind erlaubt, wenn infolge einer zu späten Bremsung die Zugfahrt gefährdet wäre (2.3.2).  Es müssen entweder die Bedingungen beim Fahren gegen oder Anfahren an gebremste Fahrzeuge vor der Zugfahrstrasse erfüllt sein (2.3.2).  Zusätzlich ist das Vorhandensein eines Halt-Signals des Zwergsignals erforderlich, wenn das Zielgleis der Rangierfahrt vor der Zugfahrstrasse liegt (2.3.2).  Schieben ohne Begleitung ist ebenfalls verboten (2.3.2).",4,"The RAG answer is mostly correct and complete but omits the condition that ""der Fahrweg vom RL verlangt wird"" which specifies a requirement for an authorized signal or directive to proceed with the movement against the stopped train, making it slightly less comprehensive than needed.",4,"The RAG answer is mostly correct and complete but omits the condition that ""der Fahrweg vom RL verlangt wird"" which specifies a requirement for an authorized signal or directive to proceed with the movement against the stopped train, making it slightly less comprehensive than needed.",0,False,False,False,False,False,False
8,Perron,Dans quelles conditions les courses de manœuvre en direction d'itinéraires de train établis sont-elles autorisées?,fr,"R 300.4, section 2.3.2",quai,False,True,0.5026735067367554,10.813406944274902,"7.1.3	Direktes Führen der Rangierfahrten	
		
	Rangierfahrten dürfen direkt geführt werden, wenn
-	der LF dauernd eine freie Sicht auf den Fahrweg und die Signale hat und 
-	der LF die Bremsen bedient und 
-	der LF die Möglichkeit hat, Achtungssignale zu geben. 	
		
","2.3.2	Mouvement de manœuvre en direction d’itinéraire de train
	
	Sont considérés comme mouvement de manœuvre en direction d’un itinéraire de train établi, tous les mouvements de manœuvre qui peuvent mettre en danger la circulation des trains par une prise en écharpe à la suite d’un freinage tardif.
Les courses de manœuvre en direction d’itinéraires de train établis ne sont autorisées que lorsque les conditions suivantes sont remplies :
–	circulation en direction ou garage sur des véhicules freinés qui se trouvent avant l’itinéraire de train établi ou 
–	dans les installations dotées de signaux nains, la voie de destination de la course de manœuvre se situe avant l’itinéraire de train établi et 1 signal nain présente l’image arrêt et ",R 300.4 §7.1.3,R 300.4 §2.3.2,"Selon l'extrait 7.1.3 des Fahrdienstvorschriften (FDV), les courses de manœuvre en direction d'itinéraires de train établis sont autorisées si le chef de manœuvre (LF) dispose d'une visibilité constante sur la voie et les signaux, et qu'il est capable de contrôler les freins et d'émettre des signaux d'attention (PCT 7.1.3). Ces opérations sont autorisées à condition que le chef de manœuvre puisse exercer ces fonctions. L'extrait ne précise pas de conditions spécifiques pour l'autorisation de ces courses de manœuvre.","Les courses de manœuvre en direction d’itinéraires de train établis sont autorisées uniquement si certaines conditions sont remplies.  Elles peuvent se faire en direction ou en garage sur des véhicules freinés situés avant l’itinéraire de train établi (2.3.2).  De plus, elles sont autorisées avec la demande du CMAN et sans poussée non accompagnée (2.3.2).  Enfin, elles sont autorisées pour la mise à quai directe de trains sur la voie de destination, à condition que les conditions soient remplies (2.3.2).",5,"The RAG answer accurately and completely addresses the question based on the reference passage provided, specifying that direct operation of train movements is allowed if certain visibility requirements for signals are met by the locomotive driver (LF) as per FDV section PCT 7.1.3.",4,"The answer correctly identifies the two main scenarios under which maneuvers towards established train routes are allowed but incorrectly adds unnecessary details about CMAN's request and non-accompanied pushes that were not mentioned in the reference passage, thus missing some minor gaps (3 instead of a full score).",-1,False,True,False,True,False,False
9,Perron,In quali condizioni sono ammessi i movimenti di manovra verso percorsi treni disposti?,it,"R 300.4, section 2.3.2",marciapiede,False,True,1.7543344497680664,10.903534889221191,"ngestellt werden dürfen
–	zum Abholen eines steckengebliebenen Zuges oder zurückgelassener Zugteile.
Die Vorschriften «Ergänzende Bestimmungen für Rangierbewegungen auf die Strecke» sind bei in Betrieb stehenden Gleisen anzuwenden. Fahrten innerhalb gesperrter Streckengleise werden nach den Vorschriften «Ergänzende Bestimmungen für Rangierbewegungen in gesperrte Gleise» ausgeführt. 
Eine Rangierbewegung auf die Strecke beginnt bzw. endet:
–	im Bahnhof 
–	innerhalb eines Streckenabschnitts
–	in einem Anschlussgleis auf der Strecke.
Eine Rangierbewegung auf die Strecke kann über ein oder mehrere Gleis- bzw. Streckenabschnitte verkehren.	
		
","2.3.2	Movimento di manovra verso percorso treno
	
	Si considera un movimento di manovra verso un percorso treno disposto qualsiasi movimento di manovra che, in seguito ad una frenatura eseguita troppo tardi, potrebbe mettere in pericolo la corsa treno a causa di una corsa di fianco.
I movimenti di manovra verso percorsi treni disposti sono ammessi purché siano soddisfatte le condizioni seguenti:
–	circolando verso o accostando a veicoli frenati che si trovano prima del percorso treno disposto, o
–	se, su impianti dotati di segnali bassi, il binario finale della corsa di manovra si trova prima del percorso treno disposto e 1 segnale basso mostra fermata, e 
–	l’itinerario viene richiesto dal CMAN e non viene effettuata una spinta non scortata, o ",R 300.4 §4,R 300.4 §2.3.2,"Secondo l'Estratto 1, le manovre di raggruppamento sulla linea possono essere eseguite per recuperare treni bloccati o parti di treni abbandonate. Le ""Norme supplementari per le manovre di raggruppamento sulla linea"" si applicano a binari in funzione. Le manovre su binari chiusi seguono le ""Norme supplementari per le manovre di raggruppamento in binari chiusi"" (Estratto 1, sezione 4).  L'Estratto 2 specifica che in stazione, la distanza massima del conducente dal capo della manovra è di 40 metri (Estratto 2).","Secondo le sezioni 2.3.2 dei Fahrdienstvorschriften, i movimenti di manovra verso percorsi treno disposti sono ammessi solo se soddisfatte determinate condizioni. In particolare, è consentito se si circola verso o accostando a veicoli frenati, oppure se su impianti con segnali bassi il binario finale della manovra si trova prima del percorso treno e un segnale basso indica fermata, previa richiesta del CMAN e assenza di spinta non scortata. Inoltre, sono ammessi per l’approntamento di treni al marciapiede del binario di partenza, quando l'itinerario può essere disposto senza richiesta. Tutti gli altri movimenti di manovra verso percorsi treno disposti sono vietati.",3,The answer correctly identifies the conditions for maneuvers on a track but includes minor inaccuracies and gaps regarding distance from the conductor to the front of maneuvering.,4,"The answer correctly summarizes the conditions under which movements of maneuver towards train tracks are allowed according to section 2.3.2, but it omits mentioning that such maneuvers can also be performed for loading trains at a departure platform when no itinerary is required by CMAN and there isn't an unsupervised pushback involved; this detail was included in the reference passage as part of one condition which wasn't fully captured due to its briefness.",1,False,True,False,True,False,True
10,Kleinwagen,Welche Fahrzeuge dürfen nicht in Züge eingereiht werden?,de,"R 300.5, section 1.4.1",Kleinwagen,True,True,7.594430923461914,7.594430923461914,"1.4	Einreihen der Anhängelast
1.4.1	Grundsatz
	
	In die Züge dürfen nur Fahrzeuge eingereiht werden, deren Beschaffenheit und Ladung die Voraussetzungen für die Beförderung mit dem betreffenden Zug erfüllen. Kleinwagen dürfen nicht angehängt werden. Beschädigte oder entgleiste Fahrzeuge dürfen erst nach der Untersuchung und der Freigabe durch den technischen Wagendienst in Züge eingereiht werden.
Für das Einreihen von Fahrzeugen in die Züge sind zudem die nachstehenden Bestimmungen zu beachten:
–	die Einschränkungen für das Verkehren von Fahrzeugen auf ein-zelnen Strecken mit Rücksicht auf die grösste zulässige Radsatz- und Meterlast sowie das Lademass
–	die zulässige Höchstgeschwindigkeit der Fahrzeuge mit Rück-sicht auf Bauart, Achsstand und Gewicht","1.4	Einreihen der Anhängelast
1.4.1	Grundsatz
	
	In die Züge dürfen nur Fahrzeuge eingereiht werden, deren Beschaffenheit und Ladung die Voraussetzungen für die Beförderung mit dem betreffenden Zug erfüllen. Kleinwagen dürfen nicht angehängt werden. Beschädigte oder entgleiste Fahrzeuge dürfen erst nach der Untersuchung und der Freigabe durch den technischen Wagendienst in Züge eingereiht werden.
Für das Einreihen von Fahrzeugen in die Züge sind zudem die nachstehenden Bestimmungen zu beachten:
–	die Einschränkungen für das Verkehren von Fahrzeugen auf ein-zelnen Strecken mit Rücksicht auf die grösste zulässige Radsatz- und Meterlast sowie das Lademass
–	die zulässige Höchstgeschwindigkeit der Fahrzeuge mit Rück-sicht auf Bauart, Achsstand und Gewicht",R 300.5 §1.4,R 300.5 §1.4,"Gemäß Abschnitt 1.4.1 der Zugvorbereitung dürfen Kleinwagen nicht in Züge eingereiht werden. Zudem sind beschädigte oder entgleiste Fahrzeuge erst nach Untersuchung und Freigabe durch den technischen Wagendienst einreihbar (1.4.1). Abschnitt 5.1.4 bestätigt diesen Grundsatz, indem er die Einhaltung der Fahrzeugbeschaffenheit für die Beförderung durch den Zug fordert (5.1.4). Die Einhaltung von Streckenbeschränkungen und Geschwindigkeit ist ebenfalls relevant (1.4.1, 5.1.4).","Gemäß Abschnitt 1.4.1 der Zugvorbereitung dürfen Kleinwagen nicht in Züge eingereiht werden. Zudem sind beschädigte oder entgleiste Fahrzeuge erst nach Untersuchung und Freigabe durch den technischen Wagendienst zulässig (1.4.1). Abschnitt 5.1.4 bestätigt diesen Grundsatz, indem er die Einhaltung der Fahrzeugbeschaffenheit für die Beförderung fordert. Die Einhaltung von Streckenbeschränkungen und der Fahrzeugbauart ist ebenfalls relevant (5.1.4).",2,The RAG answer correctly mentions Kleinwagen and damaged or derailed vehicles but includes irrelevant information about Section 5.1.4 which is not mentioned in the reference passage.,3,"The answer correctly mentions Kleinwagen and damaged or entgleiste vehicles but omits specific details about the restrictions on single-track routes, maximum axle load/meter weight, and vehicle speed limitations mentioned in Section 1.4 of the reference passage.",1,True,True,True,True,True,True
