id,language,query,target_term,relevant_section,answer_phi4-mini,answer_qwen2.5:3b,time_phi4-mini,time_qwen2.5:3b
1,de,Was macht ein Heizer?,Feuerung,"R 300.13, section 1.1","Ein Heizer übernimmt die Feuerung sowie bestimmte technische Aufgaben an der Dampflokomotive und muss dafür fahrdienstlich nicht geprüft sein (Excerpt 1, Section 1: Allgemeines). Der Lokführer ist für die Arbeit des Heizers mitverantwortlich (Excerpt 2, Section 2.2: Verantwortlichkeit) und hat Weisungsbefugnis gegenüber dem Heizer (Excerpt 2, Section 2.3: Zuständigkeiten).","Ein Heizer ist die Person, die die Feuerung und bestimmte technische Aufgaben an der Dampflokomotive übernimmt. Er muss jedoch fahrdienstlich nicht geprüft sein.",63.1,53.5
40,de,Wann muss der Lokführer die Wirkung der Luftbremse prüfen?,Gefälle,"R 300.14, section 2.3.7","Der Lokführer hat nach dem Abhängen des Triebfahrzeugs und vor der Einfahrt, sowie unmittelbar nach Beginn der Fahrt bei Temperaturen unter 0°C die Wirkung der Luftbremse zu prüfen (Excerpt 1: Section 2.3.7; Excerpt 3: Section 2.2.5).","Der LF hat die Wirkung der Luftbremse zu prüfen, wenn es nach § 2.3.7 der FDV heißt:

- Nach Veränderungen an der Zusammensetzung des Zuges
- Nach einem LF-Wechsel
- Vor der Einfahrt in ein starkes Gefälle
- In einen Kopfbahnhof
- Von Zeit zu Zeit nach der letzten Bremsung mit der automatischen Bremse bei Flugschnee oder bei grosser Kälte",93.0,101.1
25,de,Wie können dem Lokführer die Zustimmung zur Fahrt auf Strecken ohne Hauptsignale erteilt werden?,Kreuzung,"R 300.6, section 1.3.4","Die Zustimmung wird dem LF wie folgt erteilt:
– mittels Fahrplans oder
– mittels Fahrordnung oder
– mittels Befehls für Kreuzung und Überholung oder
– mündlich oder fernmündlich quittungspflichtig durch den FDL (Excerpt 1, Section 1.3.4).","Die Zustimmung zur Fahrt auf Strecken ohne Hauptsignale wird dem LF wie folgt erteilt:

- mittels Fahrplans oder
- mittels Fahrordnung oder
- mittels Befehls für Kreuzung und Überholung oder
- mündlich oder fernmündlich quittungspflichtig durch den FDL.

Die ISB regeln in ihren Betriebsvorschriften das Vorgehen zur Erteilung, die Gültigkeit und die Bedingungen für die Rücknahme dieser Zustimmung.",55.3,63.9
4,de,Welche Arten von Rangierbewegungen gibt es?,abstossen,"R 300.4, section 1.3","Es werden zwischen folgenden Rangierbewegungen unterschieden:
- Rangierfahrten direkt und indirekt geführt
- Ablaufen lassen
- Abstossen
- Rangierbewegungen mit Rangierseil oder Spill
- Rangierbewegungen von Hand oder mit mechanischen Hilfsmitteln (Exzerpt 1, Abschnitte 7.1.2; Exzerpt 3, Abschnitt 7.1.1)","Es werden zwischen folgenden Rangierbewegungen unterschieden:
- Rangierfahrten direkt und indirekt geführt
- ablaufen lassen
- abstossen
- Rangierbewegungen mit Rangierseil oder Spill
- Rangierbewegungen mit Strassenfahrzeugen
- Rangierbewegungen von Hand oder mit mechanischen Hilfsmitteln.",45.4,42.5
65,fr,Quand est-il interdit d'enregistrer des itinéraires lors des courses de manœuvre?,lancer,"R 300.4, section 2.3.7","Il est interdit d'enregistrer des itinéraires pendant les courses qui suivent après un lancer (Section 2.3.7). Il n'est pas explicitement mentionné dans le contexte fourni qu'il soit également interdit lors des courses de manœuvre, mais cela pourrait être implicite en raison du danger potentiel pour la circulation des trains (Extrait 1 et Extrait 2).","L’enregistrement d’itinéraires est interdit pour les courses qui suivent après un lancer et lorsque l’itinéraire à enregistrer touche le parcours de véhicules particuliers (FDV, Section 2.3.7).",55.4,45.9
41,fr,À quel moment le mécanicien doit-il s'assurer de l'efficacité du frein à air?,pente,"R 300.14, section 2.3.7","Le MEC doit s'assurer de l'efficacité des freins à air immédiatement après le départ (Section 2.3.7, Extrait 1). Il est également nécessaire d'effectuer cette vérification avant aborder une forte pente ou l'arrivée dans une gare en cul-de-sac (Section 2.3.7, Extrait 1), et de manière régulière après le dernier freinage au moyen du frein automatique s’il y a de la neige poudreuse ou par grand froid (Section 2.3.7, Extrait 1). De plus, les véhicules doivent être systématiquement assurés à l’aide de moyens de freinage indépendants du frein à air lorsqu'ils sont en stationnement (Section 2.4, Extrait 3), et le MEC doit s'assurer que la réserve d'air ou le vide ne peut pas être maintenu pour garantir un train jusqu’à une demi-heure (Section 2.4, Extrait 3).","Le Mécanicien d’exploitation (MEC) doit s'assurer de l'efficacité du frein à air immédiatement après le départ, après une modification de la formation du train, après un échange de MEC, avant d'aborder une forte pente ou l'arrivée dans une gare en cul-de-sac, et de temps en temps après le dernier freinage au moyen du frein automatique si il y a de la neige poudreuse ou par grand froid (Section 2.3.7).",75.0,58.3
26,fr,Comment l'assentiment pour circuler sur les tronçons dépourvus de signaux principaux est-il transmis au mécanicien?,croisement,"R 300.6, section 1.3.4","L’assentiment pour circuler sur les tronçons dépourvus de signaux principaux peut être transmis par le moyen d’une marche, selon l'extrait 1.3.4 des FDV (Circulation des trains). Le GI doit définir la procédure à suivre dans ses prescriptions d’exploitation.","L'assentiment pour circuler sur les tronçons dépourvus de signaux principaux est transmis par le Gestionnaire d'Intervention (GI) selon plusieurs méthodes : 
- En mettant à voie libre le signal principal.
- En utilisant un ordre de croisement et de dépassement.
- Par l'intermédiaire d'un ordre à quitter du chef de gare en phonie ou en présence physique.
- Sur les tronçons dépourvus de signaux principaux, le GI définit une procédure spécifique.",61.8,67.5
17,fr,Quels points peuvent être utilisés comme but du parcours?,l'aiguille d'entrée,"R300.4, section 4.3.2","Les buts du parcours peuvent inclure un signal principal, un signal principal de la direction opposée, un signal de barrage ou nain, une voie de raccordement, la voie de but en gare et l’aiguille d’entrée pour les gares sans signaux d’entrée (ou indiquer le début de la gare lorsqu’il est posé). Sur des tronçons à deux voies sans banalisation, le signal d'entrée sert également de but pour les deux voies. (Extrait 1 - Section 4.3.2)","Les points suivants peuvent être utilisés comme but du parcours : un signal principal, un signal principal de la direction opposée, un signal de barrage ou un signal nain, une voie de raccordement, la voie de but en gare, et l’aiguille d’entrée pour les gares sans signaux d’entrée.",64.4,52.8
33,it,In quali condizioni è ammesso proseguire con un veicolo non frenato in coda al treno?,carrozza,"R 300.9, section 12.3.4","È ammesso proseguire con un veicolo non frenato in coda al treno se il freno deve essere disinserito durante la corsa, dopo la partenza alla stazione d’origine e fino a una inversione della direzione di marcia o fino all’ultima modifica della composizione del treno. Le condizioni devono soddisfare i rapporti minimi di frenatura per garantire sicurezza (Excerpt 1). Inoltre, il veicolo non frenato in coda al treno deve essere provvisto di dispositivi di trazione e repulsione funzionanti se è stato danneggiato o ha perso uno dei suoi organi di trazione. Le condizioni secondo le prescrizioni ""Perturbazioni ai freni"" devono essere adempiute (Excerpt 2, Excerpt 3).","È ammesso proseguire con un veicolo non frenato in coda al treno se il rapporto di frenatura e il minimo sono sufficienti per la velocità più bassa determinante e la pendenza, includendo massimamente due veicoli circolanti direttamente davanti. Questo vale fino alla prossima modifica della composizione del treno o all'inversione della direzione di marcia.",84.0,62.2
51,it,Dove si trova la soglia di velocità in stazione se sul lato d'entrata la velocità in stazione è diversa dalla velocità di tratta?,primo scambio,"R 300.6, section 2.2.2","Se sul lato d’entrata la velocità in stazione è diversa dalla velocità di tratta, la soglia di velocità si trova al primo scambio oppure circa a 200 m dopo il segnale d’entrata se nel binario interessato non ci sono scambi (sezione 2.2.2 Corse dei treni).","Se sul lato d'entrata la velocità in stazione è diversa dalla velocità di tratta, la soglia di velocità si trova:
• al primo scambio oppure 
• circa a 200 m dopo il segnale d'entrata, se nel binario interessato non ci sono scambi.",66.9,57.7
45,it,Come sono calcolate le curve di frenatura?,pendenza,"R 300.7, section 3.2","Le curve di frenatura vengono calcolate utilizzando dati della tratta (funzione attiva, distanza, velocità finale, pendenza ecc.) e dei dati del veicolo (categoria di treno, rapporto di frenatura, lunghezza del treno ecc.), secondo l'Excerpt 1 - Controllo della marcia dei treni, Section 3.2: Dati necessari. I dati della tratta possono essere fisso o variabile in base alla funzione richiesta e vengono programmati per la funzione necessaria. Il MAC rileva i dati del veicolo tramite un'interfaccia utente.","Le curve di frenatura sono calcolate utilizzando dati della tratta e del veicolo, come la funzione attiva, distanza, velocità finale, pendenza, categoria di treno, rapporto di frenatura e lunghezza del treno. I dati della tratta vengono programmati in base alla funzione richiesta e possono essere fischi o variabili. Il MAC rileva i dati del veicolo tramite un'interfaccia utente.",63.7,52.9
48,it,Per quali segnali ottici si usa il colore bianco?,segnali bassi,"R 300.2, section 1.2.1","Per i segnali ottici, il colore bianco viene utilizzato per segnalibri bassi (segnali non valevoli o temporaneamente), indicatori e altri segnali luminosi che confermano o sostituiscono quelli acustici. (Excerpt 1 — Segnali, Section 1.2: Rappresentazione)","Il colore bianco si usa per i segnali ottici che non hanno significato specifico, come segnali bassi o indicatori.",61.8,50.5
