ID,Source_Term,Source_Language,Query,Target_Language,Gold_Term,Relevant_Section
CL-01,Abstossen,de,Wie lautet der offizielle französische Fachbegriff für Abstossen?,fr,lancer,"R 300.4, section 1.3"
CL-02,Lokführer,de,Welche offizielle Abkürzung wird auf Französisch für den Lokführer verwendet?,fr,MEC,"R 300.13, section 3.2.6"
CL-03,Zwergsignal,de,Wie heissen Zwergsignale auf Französisch?,fr,signaux nains,"R 300.2, section 1.2.1"
CL-04,Gefälle,de,Wie lautet der französische Fachbegriff für Gefälle?,fr,pente,"R 300.14, section 2.3.7"
CL-05,Einfahrweiche,de,Wie wird die Einfahrweiche auf Französisch bezeichnet?,fr,aiguille d'entrée,"R 300.4, section 4.3.2"
CL-06,Perron,de,Welchen Begriff wird auf Französisch für Perron verwendet?,fr,quai,"R 300.4, section 2.3.2"
CL-07,Abstossen,de,Wie lautet der offizielle italienische Fachbegriff für Abstossen?,it,colpo,"R 300.4, section 1.3"
CL-08,Lokführer,de,Welche offizielle Abkürzung wird auf Italienisch für den Lokführer verwendet?,it,MAC,"R 300.13, section 3.2.6"
CL-09,Zwergsignal,de,Wie heissen Zwergsignale auf Italienisch?,it,segnali bassi,"R 300.2, section 1.2.1"
CL-10,Kreuzung,de,Wie lautet der italienische Fachbegriff für Kreuzung?,it,incrocio,"R 300.6, section 1.3.4"
CL-11,Neigung,de,Wie wird Neigung auf Italienisch bezeichnet?,it,pendenza,"R 300.7, section 3.2"
CL-12,Sichern,de,Welchen Begriff wird für Sichern verwendet?,it,assicurare,"R 300.9, section 4.6.2"
CL-13,lancer,fr,Quel est le terme allemand officiel pour lancer?,de,abstossen,"R 300.4, section 1.3"
CL-14,MEC,fr,Par quelle abréviation allemande est désigné le MEC?,de,LF,"R 300.13, section 3.2.6"
CL-15,quai,fr,Comment est désigné en allemand le quai en gare?,de,Perron,"R 300.4, section 2.3.2"
CL-16,barrage,fr,Quel est le terme allemand pour barrage?,de,Absperrung,"R 300.12, section 3.1.7"
CL-17,signaux nains,fr,Comment appelle-t-on les signaux nains en allemand?,de,Zwergsignale,"R 300.2, section 1.2.1"
CL-18,chantiers,fr,Quel est le terme allemand équivalent à chantiers?,de,Arbeitsstellen,"R 300.12, section 3.1.6"
